,smiles,sequence,interactions
4466,3931,612,0
4467,11985,100,1
4468,6333,351,1
4469,3291,2297,1
4470,14104,56,0
4471,5114,126,1
4472,9359,405,0
4473,11375,3,0
4474,535,148,1
4475,2481,985,1
4476,2028,399,0
4477,10630,164,1
4478,10238,148,1
4479,7214,131,0
4480,2824,60,0
4481,9997,953,1
4482,12578,32,0
4483,11818,506,0
4484,6130,32,0
4485,11788,214,0
4486,1125,104,1
4487,1356,79,0
4488,3271,166,1
4489,1682,67,1
4490,3647,1557,1
4491,13558,17,1
4492,565,915,0
4493,863,1554,0
4494,338,77,0
4495,8021,1417,0
4496,11293,978,0
4497,5560,18,0
4498,2037,111,0
4499,10457,2197,0
4500,14388,67,1
4501,2564,310,0
4502,5705,197,0
4503,3859,1234,1
4504,543,307,1
4505,1336,1028,1
4506,7469,912,1
4507,13323,7,0
4508,6259,25,0
4509,9431,292,0
4510,1620,764,0
4511,10363,52,0
4512,8485,128,0
4513,69,584,0
4514,11200,687,1
4515,8031,212,1
4516,13758,348,0
4517,11338,89,0
4518,2383,219,1
4519,789,158,0
4520,5474,804,1
4521,9545,407,1
4522,711,1380,1
4523,9081,77,0
4524,9193,201,0
4525,12538,348,1
4526,9357,75,1
4527,2240,579,0
4528,12309,165,1
4529,10389,116,0
4530,1459,473,1
4531,4360,1638,0
4532,3479,482,1
4533,789,1207,0
4534,4547,1132,0
4535,3885,77,0
4536,13847,344,0
4537,8971,402,0
4538,11795,11,0
4539,13046,43,1
4540,2833,17,0
4541,2649,61,1
4542,11870,208,1
4543,3924,427,1
4544,14606,351,1
4545,8340,0,0
4546,536,77,0
4547,13540,575,0
4548,839,1367,0
4549,1484,1323,0
4550,1095,978,0
4551,1977,1,0
4552,6152,3,0
4553,14198,18,0
4554,11797,149,1
4555,9664,187,0
4556,409,374,0
4557,7407,49,0
4558,9139,457,0
4559,6802,33,1
4560,7571,215,0
4561,449,1,0
4562,9044,716,1
4563,6054,1325,1
4564,126,41,0
4565,8223,438,0
4566,3508,52,0
4567,5381,877,0
4568,488,100,1
4569,3822,77,0
4570,12636,1857,1
4571,6929,19,0
4572,1006,258,1
4573,10142,1095,1
4574,7765,481,0
4575,273,69,1
4576,3494,35,1
4577,6802,242,0
4578,3559,0,0
4579,8738,230,1
4580,12459,7,0
4581,5035,126,1
4582,2218,807,1
4583,7522,83,1
4584,4870,3,0
4585,58,37,0
4586,10326,77,0
4587,487,61,1
4588,3159,189,1
4589,8938,126,1
4590,8306,32,0
4591,12077,142,0
4592,5065,1039,1
4593,49,405,0
4594,6749,85,1
4595,4295,489,1
4596,13972,60,0
4597,8083,240,1
4598,11900,143,1
4599,10277,402,0
4600,6535,1477,1
4601,8709,85,1
4602,2735,52,0
4603,12490,2139,0
4604,871,978,0
4605,6474,2013,0
4606,672,100,1
4607,3264,701,0
4608,2059,240,0
4609,145,788,1
4610,5903,172,0
4611,10092,1392,0
4612,3059,187,0
4613,7941,17,0
4614,9138,315,0
4615,2177,0,0
4616,9318,102,0
4617,12138,947,1
4618,1101,318,0
4619,10757,187,1
4620,10540,743,0
4621,11620,193,1
4622,13043,410,0
4623,11744,22,0
4624,13148,247,1
4625,3131,264,1
4626,1748,52,0
4627,395,39,1
4628,2545,49,0
4629,5840,149,0
4630,3418,67,1
4631,318,596,0
4632,14004,170,1
4633,9103,101,0
4634,10519,523,1
4635,10020,176,1
4636,13604,67,1
4637,895,1515,1
4638,11331,103,1
4639,1642,365,0
4640,1815,375,0
4641,8858,1662,0
4642,9453,49,1
4643,4573,1053,0
4644,626,338,1
4645,12325,723,0
4646,11415,2220,0
4647,11075,65,1
4648,10256,626,1
4649,899,114,0
4650,9829,46,0
4651,8161,67,1
4652,1710,52,0
4653,8239,217,1
4654,2402,18,0
4655,9015,7,1
4656,12307,1255,1
4657,3638,1001,1
4658,13876,223,0
4659,11039,224,1
4660,14016,375,0
4661,6456,35,1
4662,8383,77,0
4663,7384,77,0
4664,200,404,0
4665,11297,32,0
4666,8324,891,0
4667,8121,128,0
4668,1865,204,0
4669,1897,645,1
4670,1173,522,0
4671,11974,40,0
4672,14180,813,1
4673,8563,100,1
4674,7642,345,1
4675,2421,424,0
4676,6194,77,0
4677,3103,204,0
4678,11531,52,0
4679,9582,100,1
4680,1725,67,1
4681,5812,0,0
4682,8292,20,0
4683,10729,39,0
4684,2108,3,0
4685,2284,200,1
4686,11883,113,1
4687,2861,3,0
4688,91,242,1
4689,9204,224,1
4690,5043,582,0
4691,124,654,0
4692,1311,978,0
4693,1758,1207,0
4694,4906,1172,0
4695,1331,490,1
4696,6187,74,0
4697,2369,341,0
4698,805,37,0
4699,10714,1774,1
4700,1404,78,1
4701,11159,79,0
4702,7982,35,0
4703,3391,94,1
4704,3673,69,0
4705,14024,389,1
4706,3620,7,0
4707,7219,224,0
4708,8884,101,0
4709,13959,18,0
4710,12629,53,1
4711,7165,72,0
4712,3725,91,1
4713,5649,176,1
4714,8470,91,1
4715,8965,32,0
4716,12722,2174,1
4717,5372,2094,1
4718,13466,139,1
4719,14280,421,0
4720,1510,39,0
4721,2664,348,1
4722,922,72,1
4723,10636,35,1
4724,13984,100,1
4725,658,2617,1
4726,9271,42,0
4727,606,95,0
4728,6968,2249,0
4729,8302,94,0
4730,13407,412,1
4731,8317,284,1
4732,8267,222,0
4733,14255,148,1
4734,26,1017,1
4735,7294,67,1
4736,10479,151,1
4737,9649,372,0
4738,268,916,0
4739,7193,53,0
4740,49,278,0
4741,2901,41,0
4742,1212,46,1
4743,2427,440,1
4744,4943,93,0
4745,6265,148,1
4746,10949,100,1
4747,1812,7,0
4748,1406,1126,1
4749,6636,67,1
4750,5976,41,0
4751,11900,216,0
4752,2711,41,0
4753,5950,589,1
4754,6030,512,0
4755,3245,128,0
4756,12166,256,0
4757,6387,637,0
4758,5096,52,0
4759,6640,46,1
4760,11150,592,1
4761,2161,809,1
4762,10177,200,0
4763,9627,160,1
4764,284,17,0
4765,658,1455,1
4766,545,1276,0
4767,4701,353,0
4768,6063,402,1
4769,472,447,1
4770,3675,40,1
4771,12072,817,0
4772,4830,189,1
4773,2553,18,0
4774,199,37,0
4775,1560,629,1
4776,13482,680,1
4777,1095,498,0
4778,10204,17,0
4779,12030,204,0
4780,4114,35,1
4781,524,1504,0
4782,1410,158,0
4783,14498,272,1
4784,9616,778,1
4785,2612,713,0
4786,5498,165,1
4787,7656,111,0
4788,4869,892,1
4789,13790,129,1
4790,1651,17,0
4791,2136,34,1
4792,1029,234,0
4793,1542,7,0
4794,11215,1339,0
4795,14081,1113,0
4796,1283,297,0
4797,10214,374,0
4798,7399,83,1
4799,11280,39,1
4800,7977,90,0
4801,13719,169,0
4802,13221,18,0
4803,7287,0,0
4804,2756,447,1
4805,4952,264,0
4806,10655,991,1
4807,5124,3,0
4808,5798,2214,0
4809,3833,318,1
4810,991,351,0
4811,4982,1483,1
4812,9149,278,0
4813,10131,77,0
4814,13518,56,0
4815,4106,1,0
4816,6932,189,1
4817,8228,37,0
4818,2558,25,0
4819,152,877,0
4820,11583,24,0
4821,3583,678,0
4822,11897,40,1
4823,12448,511,1
4824,2509,198,0
4825,1642,147,1
4826,2427,402,1
4827,1962,1260,0
4828,1322,17,0
4829,2534,825,1
4830,8856,438,1
4831,1067,18,0
4832,6758,220,0
4833,4610,1398,1
4834,377,259,0
4835,2034,197,0
4836,2705,854,0
4837,6219,66,1
4838,6156,284,1
4839,470,1580,0
4840,8163,32,0
4841,1076,38,1
4842,3508,37,0
4843,4943,2098,0
4844,5177,219,1
4845,10334,100,0
4846,1303,200,0
4847,11447,220,1
4848,1344,3,1
4849,943,523,0
4850,2778,3,0
4851,5085,563,0
4852,10789,143,1
4853,5279,77,0
4854,1331,1640,0
4855,3163,77,0
4856,4910,143,1
4857,8599,1154,0
4858,8511,575,0
4859,1979,111,0
4860,177,22,1
4861,1244,2358,1
4862,11461,66,1
4863,480,1205,1
4864,6259,111,0
4865,2262,200,0
4866,2311,878,1
4867,2267,18,0
4868,351,1198,0
4869,8512,68,0
4870,1060,43,1
4871,2347,546,1
4872,5909,330,0
4873,1199,42,0
4874,4842,17,0
4875,4195,629,1
4876,10315,1158,0
4877,4068,35,1
4878,4253,430,0
4879,1959,920,0
4880,1438,1945,1
4881,4972,90,0
4882,9801,16,0
4883,2857,2020,0
4884,4036,35,1
4885,830,26,0
4886,540,35,1
4887,3430,1407,0
4888,11857,155,1
4889,6,147,1
4890,2740,248,1
4891,1511,424,1
4892,2378,403,1
4893,1168,141,0
4894,7288,86,0
4895,9985,102,0
4896,4591,229,1
4897,9617,100,1
4898,14017,91,0
4899,8258,242,1
4900,12774,126,1
4901,10876,235,0
4902,1844,402,0
4903,6127,1213,1
4904,6079,769,1
4905,943,265,0
4906,4567,1136,1
4907,12308,273,0
4908,3973,137,0
4909,7361,42,0
4910,14262,67,1
4911,1487,369,1
4912,5491,980,1
4913,14478,61,1
4914,1288,446,1
4915,8651,58,1
4916,2639,41,0
4917,3030,32,0
4918,9571,237,1
4919,894,0,0
4920,11952,690,1
4921,200,3,0
4922,4240,412,0
4923,12518,944,1
4924,2804,61,0
4925,9817,1063,1
4926,6355,1135,0
4927,1982,214,0
4928,725,52,0
4929,12669,95,1
4930,9971,650,1
4931,6286,83,1
4932,6012,35,1
4933,1479,329,0
4934,10674,388,0
4935,1717,100,1
4936,1046,1421,0
4937,6555,1432,1
4938,6405,3,0
4939,4739,265,0
4940,9149,405,0
4941,5758,3,0
4942,4657,743,0
4943,554,37,0
4944,86,35,1
4945,7168,149,0
4946,3396,3,0
4947,3362,224,1
4948,10249,131,0
4949,14375,37,1
4950,7546,715,1
4951,1960,460,1
4952,3769,100,1
4953,910,17,0
4954,6162,136,1
4955,10772,32,0
4956,8440,2212,1
4957,5612,429,1
4958,5886,47,1
4959,3978,139,1
4960,1167,0,0
4961,10651,89,1
4962,6106,440,1
4963,5487,231,0
4964,4685,86,0
4965,3334,82,1
4966,13670,163,0
4967,2647,247,1
4968,1573,115,0
4969,980,462,0
4970,6297,551,1
4971,2872,5,0
4972,6356,37,0
4973,3294,259,1
4974,421,2136,0
4975,7232,46,1
4976,10101,142,0
4977,886,122,1
4978,7699,102,0
4979,2325,91,0
4980,9604,0,0
4981,8030,49,0
4982,10304,1657,0
4983,4700,133,1
4984,9653,32,0
4985,11314,901,1
4986,661,315,1
4987,8925,52,0
4988,880,489,0
4989,2103,18,0
4990,2405,797,1
4991,6753,83,1
4992,13132,267,0
4993,8805,37,1
4994,5553,147,1
4995,2732,77,0
4996,7539,67,1
4997,8671,18,0
4998,3728,60,0
4999,3085,351,0
5000,1739,0,0
5001,2569,100,1
5002,8093,248,1
5003,13733,267,0
5004,4944,0,0
5005,256,100,1
5006,4394,254,0
5007,9950,593,0
5008,8249,86,1
5009,9981,200,0
5010,8110,35,1
5011,1290,1296,0
5012,4471,1750,0
5013,615,1751,0
5014,13654,749,0
5015,14037,216,0
5016,969,72,1
5017,5480,891,0
5018,10768,1001,0
5019,10857,170,1
5020,5006,1732,1
5021,6167,37,1
5022,10389,8,1
5023,348,473,1
5024,12279,1063,1
5025,11155,140,0
5026,3132,33,1
5027,6343,91,1
5028,4934,463,0
5029,1591,636,0
5030,3541,86,0
5031,354,875,0
5032,2901,418,0
5033,9157,2337,0
5034,5746,0,0
5035,9556,277,1
5036,8191,338,1
5037,12728,438,0
5038,5728,2042,1
5039,6210,462,0
5040,10138,52,0
5041,736,100,1
5042,6406,91,0
5043,4962,25,0
5044,14558,176,1
5045,2818,260,0
5046,5317,388,0
5047,9570,1021,0
5048,9900,129,1
5049,11630,67,1
5050,8479,2040,0
5051,1610,18,0
5052,4676,859,1
5053,1173,1725,0
5054,863,859,0
5055,5858,774,0
5056,5513,18,0
5057,7076,592,1
5058,11287,256,1
5059,5063,189,0
5060,10900,86,1
5061,2052,223,0
5062,2087,208,0
5063,2246,447,0
5064,6584,0,0
5065,6501,140,0
5066,7602,724,0
5067,2314,1633,0
5068,7517,376,0
5069,6725,13,0
5070,3528,213,0
5071,2277,51,1
5072,4667,18,0
5073,7353,60,0
5074,14281,687,1
5075,42,1706,0
5076,11177,128,0
5077,4843,166,1
5078,2841,460,1
5079,1086,86,0
5080,10635,103,1
5081,3951,489,0
5082,2085,7,0
5083,5420,214,0
5084,12388,438,1
5085,14363,104,1
5086,8965,412,0
5087,97,1408,1
5088,7126,7,0
5089,9751,247,1
5090,6020,540,0
5091,12119,589,0
5092,1520,362,1
5093,1089,237,0
5094,4950,108,0
5095,7366,67,1
5096,5960,725,0
5097,5711,31,0
5098,5786,11,0
5099,12899,1320,1
5100,3272,95,1
5101,1007,3,0
5102,8030,1410,0
5103,3273,9,1
5104,1422,415,1
5105,119,92,1
5106,1631,77,0
5107,10414,264,1
5108,1368,440,1
5109,8552,276,0
5110,9963,42,0
5111,5323,66,0
5112,2860,90,0
5113,2753,2272,0
5114,3830,310,1
5115,4185,149,1
5116,8335,210,1
5117,930,0,0
5118,7788,18,0
5119,6499,344,0
5120,2246,5,0
5121,8047,74,1
5122,429,214,0
5123,11280,35,1
5124,3799,131,0
5125,4480,242,0
5126,11575,26,1
5127,10638,401,1
5128,7811,400,1
5129,10812,91,1
5130,2595,48,0
5131,55,242,0
5132,5107,67,1
5133,4608,231,0
5134,107,41,0
5135,11768,3,1
5136,2183,77,0
5137,404,267,0
5138,5951,19,0
5139,13464,935,1
5140,4180,109,1
5141,13727,82,1
5142,3085,39,0
5143,12255,40,1
5144,6014,243,0
5145,5061,124,1
5146,6326,2131,0
5147,475,1906,0
5148,2699,694,0
5149,5020,103,1
5150,3272,329,0
5151,2799,579,0
5152,813,400,0
5153,4724,69,0
5154,7926,382,1
5155,3215,462,0
5156,12731,440,0
5157,385,242,1
5158,11074,936,0
5159,2418,115,0
5160,125,1099,1
5161,751,908,0
5162,930,1872,1
5163,1232,1114,1
5164,3524,577,1
5165,4044,68,0
5166,1924,90,0
5167,7621,83,1
5168,1548,1207,0
5169,8233,17,0
5170,8174,51,0
5171,386,252,1
5172,8177,7,1
5173,928,940,1
5174,8188,1061,0
5175,2652,155,0
5176,4997,668,1
5177,4830,115,0
5178,7585,409,1
5179,7348,0,0
5180,220,25,0
5181,12096,2082,0
5182,12029,402,0
5183,2238,125,1
5184,2255,41,0
5185,986,204,0
5186,8035,813,1
5187,1020,265,0
5188,13510,408,0
5189,14043,66,0
5190,6758,1453,0
5191,7671,204,0
5192,3810,1020,1
5193,3713,89,1
5194,4600,3,0
5195,7862,264,1
5196,7465,547,0
5197,2988,140,0
5198,10244,575,0
5199,5003,212,1
5200,244,25,0
5201,9214,0,0
5202,510,256,1
5203,862,26,1
5204,3739,18,0
5205,1814,267,0
5206,7535,204,0
5207,3109,927,1
5208,13202,345,0
5209,12976,401,1
5210,6772,248,1
5211,3059,22,0
5212,14118,836,0
5213,6306,549,1
5214,10056,300,1
5215,4486,200,0
5216,1254,260,0
5217,2909,149,0
5218,3109,1211,0
5219,8190,383,1
5220,13191,7,0
5221,10602,1483,1
5222,2622,375,0
5223,5015,200,1
5224,13166,626,0
5225,3227,392,0
5226,10570,52,0
5227,5362,1,0
5228,3381,3,0
5229,3089,40,1
5230,2924,1009,1
5231,1779,18,0
5232,745,348,1
5233,450,143,1
5234,1741,110,0
5235,1652,872,0
5236,104,1552,0
5237,7759,82,1
5238,670,37,0
5239,13720,947,1
5240,10269,1367,1
5241,7576,345,0
5242,11533,148,1
5243,3844,176,1
5244,1794,539,0
5245,4326,74,0
5246,1327,40,1
5247,11111,98,1
5248,4753,395,1
5249,11996,67,1
5250,3297,34,1
5251,10407,1838,1
5252,3443,440,1
5253,4752,52,0
5254,4077,18,0
5255,3130,7,0
5256,11191,102,0
5257,9558,135,1
5258,10044,50,1
5259,242,517,1
5260,3510,115,0
5261,12076,100,1
5262,5270,67,1
5263,5248,52,0
5264,1448,72,0
5265,7036,467,1
5266,6761,139,1
5267,5364,3,0
5268,11180,100,1
5269,13397,60,0
5270,1562,0,0
5271,1102,219,0
5272,12248,595,0
5273,2536,412,0
5274,6241,41,0
5275,6948,40,1
5276,3074,146,1
5277,4961,32,0
5278,6813,201,0
5279,1004,126,1
5280,8206,473,1
5281,8796,94,0
5282,463,77,0
5283,3153,3,0
5284,7072,242,1
5285,4820,1163,0
5286,11225,77,0
5287,1744,404,0
5288,10116,260,0
5289,10901,3,0
5290,10226,86,0
5291,4412,343,1
5292,10198,0,0
5293,2528,17,0
5294,4955,89,1
5295,59,53,1
5296,5806,0,0
5297,6501,37,0
5298,200,777,1
5299,5857,41,0
5300,1705,17,0
5301,6829,141,1
5302,29,197,0
5303,3437,77,0
5304,819,223,0
5305,12033,22,1
5306,5728,405,1
5307,8360,35,1
5308,6458,904,1
5309,11110,269,1
5310,6,5,1
5311,7306,3,0
5312,10088,7,0
5313,6408,67,1
5314,10547,67,1
5315,1459,214,0
5316,7941,3,0
5317,2578,193,1
5318,14391,343,1
5319,6074,77,0
5320,8931,16,1
5321,11918,1264,1
5322,3239,47,1
5323,10297,40,0
5324,11539,402,0
5325,8570,404,1
5326,12681,101,0
5327,9568,407,0
5328,12024,116,1
5329,6200,34,0
5330,11296,115,0
5331,2824,77,0
5332,13317,548,0
5333,7020,43,1
5334,7336,353,0
5335,426,283,1
5336,2199,957,0
5337,2258,220,1
5338,3931,97,1
5339,4836,678,1
5340,8564,137,0
5341,1821,442,0
5342,5389,26,0
5343,4512,87,1
5344,3460,412,0
5345,5962,67,1
5346,12861,75,0
5347,1534,762,0
5348,10936,943,0
5349,10785,86,0
5350,14225,67,1
5351,1487,1826,0
5352,7840,187,0
5353,3374,440,1
5354,11363,658,0
5355,7931,532,0
5356,11810,301,1
5357,9978,52,0
5358,6436,198,0
5359,2908,118,0
5360,9018,264,1
5361,8617,460,1
5362,7468,52,0
5363,9998,109,0
5364,3610,1637,0
5365,5020,134,1
5366,3782,118,1
5367,696,752,1
5368,1651,3,0
5369,2593,606,1
5370,665,337,0
5371,3097,758,1
5372,7719,118,1
5373,1984,25,0
5374,2249,98,0
5375,988,33,1
5376,2322,86,0
5377,6170,8,1
5378,2354,495,0
5379,4809,170,1
5380,6016,709,0
5381,2510,1823,1
5382,12806,343,1
5383,549,55,0
5384,13799,539,0
5385,3611,1082,0
5386,4150,77,1
5387,215,678,0
5388,3151,375,0
5389,12213,645,0
5390,3147,61,0
5391,83,39,1
5392,1088,836,1
5393,8701,17,0
5394,3521,1,0
5395,2742,267,0
5396,5032,405,0
5397,4466,651,1
5398,5358,1247,0
5399,658,1080,1
5400,1480,269,1
5401,14265,629,1
5402,6540,617,1
5403,2801,143,0
5404,1398,26,1
5405,5037,39,1
5406,1829,583,0
5407,4961,412,0
5408,7129,60,0
5409,8445,207,0
5410,14617,3,0
5411,4324,100,1
5412,4599,22,1
5413,14267,269,1
5414,9622,472,1
5415,107,197,0
5416,11576,2169,0
5417,3536,682,0
5418,9247,210,1
5419,5187,77,0
5420,9780,17,0
5421,4391,26,0
5422,13081,61,1
5423,3925,832,0
5424,1195,5,0
5425,2732,3,0
5426,1654,438,0
5427,4495,2444,1
5428,10541,42,0
5429,6625,402,1
5430,6646,1063,1
5431,6632,2578,1
5432,8822,268,1
5433,6660,758,1
5434,6249,189,1
5435,2707,39,1
5436,11927,35,0
5437,1309,402,1
5438,5942,351,0
5439,1828,73,1
5440,4052,1060,1
5441,11784,86,0
5442,1644,785,0
5443,205,2540,0
5444,9489,41,0
5445,840,1423,0
5446,1526,1089,1
5447,12397,170,1
5448,13828,482,1
5449,4090,82,1
5450,11784,1063,1
5451,8918,667,0
5452,9027,169,1
5453,9040,18,0
5454,6567,77,0
5455,13691,18,0
5456,5231,68,0
5457,91,483,0
5458,14383,22,0
5459,738,66,0
5460,13064,100,1
5461,13521,7,0
5462,7598,129,1
5463,12039,25,0
5464,49,352,0
5465,509,77,0
5466,7065,334,1
5467,601,442,0
5468,1068,491,0
5469,7494,39,0
5470,10333,7,0
5471,1771,1114,1
5472,3596,89,0
5473,10526,149,0
5474,4733,57,1
5475,3970,102,0
5476,1928,77,0
5477,9020,35,1
5478,5971,53,1
5479,9893,18,0
5480,4503,891,0
5481,6245,100,1
5482,10565,17,0
5483,10233,248,1
5484,2475,819,0
5485,11468,467,0
5486,1480,51,1
5487,7298,58,1
5488,6773,22,0
5489,8798,310,1
5490,13839,17,0
5491,5294,429,0
5492,4657,376,0
5493,13801,402,0
5494,8854,52,0
5495,53,158,1
5496,4299,311,0
5497,8122,503,0
5498,3565,613,1
5499,5513,67,1
5500,9842,94,1
5501,7,1806,0
5502,28,27,1
5503,5538,67,1
5504,2,0,0
5505,13697,412,0
5506,5214,93,1
5507,4313,48,0
5508,4041,29,0
5509,8978,0,0
5510,12334,424,1
5511,304,259,1
5512,8751,514,0
5513,12328,858,1
5514,14143,114,1
5515,3002,404,0
5516,6661,269,1
5517,12465,619,0
5518,1408,1199,0
5519,3281,405,1
5520,189,17,0
5521,7306,0,0
5522,6905,25,0
5523,14423,18,0
5524,9470,450,1
5525,12127,75,0
5526,1950,315,1
5527,5764,41,1
5528,9147,1109,1
5529,2600,77,0
5530,5977,404,0
5531,11625,939,1
5532,6595,135,1
5533,3269,25,0
5534,10176,77,0
5535,14108,68,0
5536,268,178,1
5537,9565,692,1
5538,11733,39,1
5539,3149,197,0
5540,6995,74,0
5541,3357,102,0
5542,268,1053,0
5543,6073,48,0
5544,5918,363,0
5545,13885,1450,0
5546,7234,86,0
5547,472,19,0
5548,7131,86,0
5549,20,2050,1
5550,1006,1,0
5551,7077,15,1
5552,2424,21,0
5553,4426,464,0
5554,9563,170,1
5555,10854,77,0
5556,4616,831,0
5557,13229,52,0
5558,2479,37,0
5559,7047,343,1
5560,2115,743,0
5561,7657,408,0
5562,4278,1098,0
5563,8540,67,1
5564,5951,665,0
5565,2038,725,0
5566,3742,891,0
5567,5543,1145,0
5568,3310,24,0
5569,6930,3,0
5570,13718,126,1
5571,592,35,1
5572,10785,618,1
5573,11590,35,1
5574,2919,435,1
5575,4769,289,0
5576,2783,155,0
5577,8079,1107,0
5578,2317,1154,1
5579,11118,978,0
5580,1651,50,1
5581,13033,17,0
5582,6217,374,0
5583,4661,196,0
5584,4508,38,0
5585,220,855,0
5586,5358,228,0
5587,268,844,0
5588,1985,196,0
5589,7434,690,1
5590,1291,959,0
5591,10237,32,0
5592,12872,18,0
5593,1466,836,0
5594,1102,627,0
5595,1101,392,0
5596,387,1226,0
5597,2029,227,1
5598,8942,35,1
5599,9553,67,1
5600,5694,47,0
5601,8635,1023,0
5602,5883,0,0
5603,10788,57,1
5604,1979,1510,0
5605,12575,67,1
5606,5979,100,1
5607,5044,939,1
5608,9376,49,0
5609,3629,365,0
5610,1015,9,1
5611,3975,439,0
5612,7928,178,1
5613,4749,197,0
5614,211,35,1
5615,9502,782,1
5616,4816,86,0
5617,3779,103,1
5618,1738,77,0
5619,5824,424,1
5620,4467,1320,1
5621,8309,208,0
5622,13505,122,0
5623,4262,189,1
5624,9284,382,1
5625,429,128,0
5626,498,668,1
5627,338,153,0
5628,6289,297,0
5629,10043,405,1
5630,3672,343,1
5631,1153,271,1
5632,11285,140,0
5633,2416,41,0
5634,14053,2332,0
5635,8562,532,1
5636,5197,17,0
5637,12855,0,0
5638,13186,758,1
5639,4313,573,1
5640,6106,1723,0
5641,10417,35,1
5642,13400,18,0
5643,10246,539,0
5644,8690,90,0
5645,10111,201,0
5646,11808,258,0
5647,945,1455,0
5648,9650,187,0
5649,768,836,0
5650,1016,681,0
5651,1587,94,0
5652,8027,67,1
5653,8800,809,0
5654,3169,1407,1
5655,4307,276,0
5656,834,62,0
5657,6644,3,0
5658,2121,609,1
5659,11350,105,1
5660,8604,232,1
5661,7781,24,0
5662,13606,126,1
5663,1236,412,0
5664,9385,301,1
5665,1537,18,0
5666,930,724,0
5667,1095,32,0
5668,5981,60,0
5669,4104,204,0
5670,10225,82,1
5671,5766,117,0
5672,1497,13,0
5673,5510,18,0
5674,8869,149,1
5675,566,516,1
5676,8165,87,0
5677,3681,110,0
5678,5800,102,0
5679,12041,52,0
5680,8961,97,1
5681,682,155,0
5682,21,20,1
5683,957,315,0
5684,1161,938,1
5685,11422,77,0
5686,14308,334,1
5687,268,177,0
5688,7991,60,0
5689,12877,52,0
5690,233,17,0
5691,14426,301,1
5692,7443,128,1
5693,3939,51,0
5694,1844,447,1
5695,5069,514,0
5696,931,1246,0
5697,3887,49,1
5698,2243,26,1
5699,1416,3,0
5700,571,77,0
5701,5432,47,1
5702,8287,636,0
5703,3137,348,0
5704,11423,100,1
5705,3496,37,0
5706,5774,67,1
5707,4945,7,0
5708,409,24,0
5709,857,1510,0
5710,13329,549,1
5711,48,932,0
5712,13197,264,1
5713,1392,17,0
5714,13108,42,0
5715,11385,548,1
5716,5585,269,0
5717,3774,134,1
5718,6413,173,0
5719,3093,687,1
5720,3330,13,0
5721,5849,390,0
5722,11764,214,0
5723,1101,539,0
5724,2461,90,0
5725,10928,222,0
5726,11639,0,0
5727,13949,102,0
5728,3747,156,1
5729,10467,67,1
5730,1865,978,0
5731,5208,187,1
5732,1807,722,1
5733,5042,3,0
5734,2002,20,1
5735,793,224,1
5736,10886,52,0
5737,1102,320,1
5738,2770,1456,0
5739,13630,46,1
5740,9017,732,1
5741,5692,77,0
5742,13607,5,0
5743,2516,242,1
5744,1701,212,1
5745,7592,100,1
5746,12577,983,1
5747,833,220,1
5748,4258,93,1
5749,6118,35,1
5750,8136,3,0
5751,5356,47,1
5752,5517,91,0
5753,11,27,1
5754,4824,895,0
5755,7798,40,1
5756,13032,100,0
5757,7430,67,1
5758,12504,39,1
5759,2871,37,0
5760,7649,3,0
5761,6793,77,0
5762,11566,18,0
5763,1866,67,0
5764,12164,287,1
5765,615,2341,0
5766,7888,375,0
5767,4169,228,0
5768,11706,77,0
5769,5974,242,0
5770,2005,90,0
5771,13955,41,0
5772,12010,1900,0
5773,9871,222,0
5774,13219,293,1
5775,2263,26,0
5776,5444,149,0
5777,1095,918,0
5778,6239,490,0
5779,1127,3,0
5780,4372,736,1
5781,13244,374,0
5782,2451,1295,0
5783,1866,1367,1
5784,2699,583,0
5785,6058,100,1
5786,1460,1597,0
5787,1685,219,0
5788,10805,67,1
5789,6336,220,0
5790,8100,1114,1
5791,3762,246,0
5792,3985,279,1
5793,1359,3,0
5794,1634,43,0
5795,5589,86,1
5796,8768,536,0
5797,429,320,0
5798,915,278,1
5799,12023,1698,1
5800,6782,101,0
5801,11641,129,1
5802,967,187,1
5803,14493,219,1
5804,4316,32,0
5805,10289,237,1
5806,881,254,0
5807,355,2011,0
5808,1360,140,1
5809,9665,109,1
5810,11023,2119,1
5811,11850,2496,0
5812,8505,405,0
5813,8868,606,1
5814,4018,100,0
5815,9208,77,0
5816,10857,102,0
5817,2627,60,0
5818,11503,243,1
5819,3950,438,0
5820,6836,503,0
5821,1683,34,1
5822,13251,407,1
5823,3939,17,1
5824,13855,43,1
5825,3215,24,0
5826,9758,158,0
5827,11726,100,1
5828,10217,212,0
5829,13682,237,0
5830,6799,329,0
5831,1285,1502,1
5832,4506,41,0
5833,7373,67,1
5834,2452,1134,0
5835,12123,908,1
5836,6816,211,1
5837,2834,17,0
5838,9389,77,0
5839,3859,391,0
5840,1920,2000,0
5841,3330,445,1
5842,94,78,1
5843,1197,1664,1
5844,8821,447,0
5845,8608,160,0
5846,244,1183,1
5847,3708,978,1
5848,12866,143,1
5849,3252,230,1
5850,9192,557,0
5851,760,41,0
5852,6054,405,0
5853,555,119,1
5854,3604,67,1
5855,4515,100,0
5856,2340,206,0
5857,1095,478,1
5858,8141,269,0
5859,11716,634,0
5860,12694,34,1
5861,13273,551,1
5862,9937,48,0
5863,4516,1567,0
5864,2888,579,0
5865,10979,37,0
